                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0473,                 4.2202,                   4.08,                0.00333,                0.71097,                0.01086,                 0.0034,                 3.0145,                 3.6235,                 4.2071,             0.00033053,             0.00033053,             0.00033053
                      2,                 2.7078,                  3.783,                 3.3973,                0.11211,                0.18958,                0.05048,                0.01462,                 2.5106,                 4.0093,                 3.3277,             0.00065072,             0.00065072,             0.00065072
                      3,                  2.198,                 3.3941,                 2.8438,                0.64703,                0.12259,                0.10799,                0.03903,                 2.0694,                 4.3106,                 2.8185,             0.00095771,             0.00095771,             0.00095771
                      4,                 1.8973,                 3.0215,                 2.4969,                0.17754,                0.32041,                0.19514,                0.08683,                  1.789,                 3.8577,                 2.4023,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.6754,                 2.6528,                 2.2312,                0.25545,                0.43149,                0.29456,                0.14941,                  1.701,                 2.5463,                 2.3055,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.5616,                 2.3725,                  2.107,                0.41116,                0.47071,                0.41711,                 0.2611,                 1.4428,                 2.0714,                    2.1,               0.000901,               0.000901,               0.000901
                      7,                 1.4589,                 2.2103,                 2.0048,                0.44001,                 0.5511,                 0.5135,                0.34855,                 1.2529,                 1.7358,                 1.9032,              0.0008812,              0.0008812,              0.0008812
                      8,                  1.361,                 2.0517,                  1.901,                0.50814,                 0.5312,                0.53715,                0.36577,                 1.2635,                 1.7052,                 1.9009,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.3051,                  1.941,                 1.8467,                0.62894,                 0.5364,                0.59793,                 0.4156,                 1.1881,                 1.6067,                 1.8041,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.2504,                 1.8471,                  1.792,                0.52533,                0.53978,                0.55991,                0.39261,                 1.1457,                 1.6916,                 1.7288,              0.0008218,              0.0008218,              0.0008218
                     11,                  1.224,                 1.7642,                 1.7647,                0.62137,                 0.6131,                0.65771,                 0.4801,                  1.064,                  1.443,                 1.6819,               0.000802,               0.000802,               0.000802
                     12,                 1.1664,                 1.6515,                 1.7047,                0.67686,                0.62512,                0.68035,                 0.4928,                  1.025,                 1.3818,                 1.6241,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.1158,                 1.5723,                 1.6522,                0.68756,                0.62534,                0.68467,                0.50567,                0.99104,                 1.3635,                 1.5821,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.1041,                 1.5452,                 1.6368,                0.70287,                0.67059,                 0.7474,                0.56068,                0.96543,                 1.2111,                 1.5629,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.0789,                 1.4793,                 1.6197,                0.72012,                0.66045,                0.73622,                 0.5526,                0.94442,                 1.2245,                 1.5167,              0.0007228,              0.0007228,              0.0007228
                     16,                  1.065,                 1.4415,                 1.6046,                 0.7194,                0.69879,                0.78331,                  0.612,                0.87032,                 1.1049,                 1.4585,               0.000703,               0.000703,               0.000703
                     17,                 1.0278,                 1.3862,                 1.5674,                0.73149,                0.65563,                0.77137,                0.58459,                0.90555,                 1.1942,                 1.4756,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.0063,                 1.3477,                 1.5411,                0.72378,                0.69668,                0.76594,                0.59793,                0.85873,                 1.1426,                 1.4381,              0.0006634,              0.0006634,              0.0006634
