                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.056,                 4.2143,                 4.0641,                0.00395,                0.70596,                0.01115,                 0.0036,                 3.0401,                 3.7384,                 4.3081,             0.00033081,             0.00033081,             0.00033081
                      2,                 2.6649,                   3.71,                 3.3168,                0.07553,                0.23975,                0.06577,                0.02415,                 2.2254,                 3.4741,                 3.1071,             0.00065099,             0.00065099,             0.00065099
                      3,                 2.0955,                 3.2578,                 2.7162,                0.13898,                 0.3737,                0.14168,                0.05591,                   1.87,                 3.8513,                 2.5763,             0.00095797,             0.00095797,             0.00095797
                      4,                 1.7924,                 2.8287,                 2.3358,                0.30486,                0.42829,                0.28186,                0.13977,                 1.7048,                 2.5765,                 2.3148,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.6049,                 2.5024,                 2.1168,                0.40965,                0.42573,                0.39793,                0.22989,                 1.4853,                 2.1148,                 2.0994,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.4802,                 2.2613,                 1.9877,                0.37622,                0.45543,                0.42262,                0.23677,                 1.5337,                 2.0771,                 2.1176,               0.000901,               0.000901,               0.000901
                      7,                 1.3893,                 2.0566,                 1.8915,                0.57593,                0.57278,                 0.5739,                0.39691,                 1.1968,                 1.6637,                 1.7999,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.3117,                 1.9136,                  1.813,                0.53839,                0.52838,                0.53279,                0.37066,                 1.1584,                 1.7169,                 1.7329,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.2666,                 1.8014,                 1.7571,                0.61609,                0.57959,                0.64202,                0.43952,                 1.2484,                 1.5302,                 1.8146,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.2199,                 1.7189,                 1.7168,                0.65709,                0.63094,                0.70836,                0.52258,                 1.0292,                 1.3653,                 1.5942,              0.0008218,              0.0008218,              0.0008218
                     11,                  1.166,                 1.6091,                 1.6624,                0.71474,                0.64769,                0.72792,                0.53586,                  1.035,                 1.3375,                 1.6284,               0.000802,               0.000802,               0.000802
                     12,                 1.1072,                 1.5168,                 1.6076,                0.76838,                0.67255,                0.75587,                0.56176,                0.97856,                 1.2153,                 1.5534,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.0814,                 1.4685,                 1.5745,                0.77686,                0.71664,                0.79305,                 0.6106,                0.89691,                  1.114,                 1.4646,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.0672,                 1.4357,                 1.5688,                0.66465,                0.65372,                0.73168,                 0.5622,                0.90915,                 1.2303,                 1.4739,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.0318,                 1.3615,                 1.5341,                0.80026,                0.71102,                0.80009,                0.62456,                0.89494,                 1.0854,                 1.4468,              0.0007228,              0.0007228,              0.0007228
                     16,                0.99226,                 1.3184,                 1.5052,                 0.6546,                0.66928,                0.75919,                0.58662,                0.86847,                 1.1712,                 1.4306,               0.000703,               0.000703,               0.000703
                     17,                0.97222,                 1.2812,                 1.4835,                0.76644,                0.72467,                0.81384,                0.63383,                0.85081,                 1.0059,                 1.4227,              0.0006832,              0.0006832,              0.0006832
                     18,                0.96211,                 1.2324,                 1.4712,                0.83499,                0.76192,                 0.8432,                 0.6689,                0.82519,                0.94185,                 1.3829,              0.0006634,              0.0006634,              0.0006634
                     19,                0.92601,                 1.1937,                 1.4411,                0.83874,                 0.7856,                 0.8642,                 0.6901,                0.81111,                 0.8425,                 1.3589,              0.0006436,              0.0006436,              0.0006436
                     20,                0.91757,                 1.1673,                 1.4325,                0.86247,                0.77576,                0.87756,                0.71062,                0.77009,                0.82734,                  1.323,              0.0006238,              0.0006238,              0.0006238
                     21,                0.90577,                 1.1439,                 1.4287,                0.84272,                0.76634,                0.86552,                0.69692,                0.76515,                0.84618,                 1.3303,               0.000604,               0.000604,               0.000604
                     22,                0.88433,                 1.1169,                 1.4055,                0.86729,                0.78646,                0.87489,                0.70719,                0.75767,                0.84382,                 1.2991,              0.0005842,              0.0005842,              0.0005842
                     23,                0.87805,                 1.0971,                 1.4014,                0.87224,                0.78356,                0.88069,                0.72811,                0.72449,                 0.7939,                 1.2895,              0.0005644,              0.0005644,              0.0005644
                     24,                0.87462,                 1.0941,                 1.3955,                0.87866,                0.79369,                0.88843,                 0.7303,                0.71745,                0.75745,                 1.2739,              0.0005446,              0.0005446,              0.0005446
                     25,                0.84462,                 1.0304,                 1.3729,                0.88161,                0.79477,                0.89161,                0.73889,                0.71013,                0.75308,                  1.261,              0.0005248,              0.0005248,              0.0005248
